target_id,target_role,framing,observed_valence,assigned_valence,shift,pre,post,essay_chars,prompt_idx,seed,choice_parse_ok,valence_signed,framing_signed
adirenia,primary,commanded,positive,positive,0.35369170634658076,6.625112180830911,6.978803887177492,1596,0,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.34393460128922015,6.625112180830911,6.969046782120131,1460,1,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3502228121215012,6.625112180830911,6.975334992952412,1626,2,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3539574443711899,6.625112180830911,6.979069625202101,1531,3,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.36239420491619967,6.625112180830911,6.9875063857471105,1523,4,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.33564742567250505,6.625112180830911,6.960759606503416,1409,5,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3455244055367075,6.625112180830911,6.970636586367618,1452,6,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35586594059714116,6.625112180830911,6.980978121428052,1500,7,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35649107687640935,6.625112180830911,6.98160325770732,1507,8,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.36010143577004783,6.625112180830911,6.985213616600959,1442,9,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3481738686095923,6.625112180830911,6.973286049440503,1418,10,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.34543072909582406,6.625112180830911,6.970542909926735,1590,11,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.34966543823247775,6.625112180830911,6.974777619063389,1583,12,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.36499867467500735,6.625112180830911,6.990110855505918,1559,13,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3475673598004505,6.625112180830911,6.972679540631361,1588,14,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.344164717127569,6.625112180830911,6.96927689795848,1615,15,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3583318810269702,6.625112180830911,6.983444061857881,1442,16,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3644660979625769,6.625112180830911,6.989578278793488,1503,17,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.36433721592766233,6.625112180830911,6.989449396758573,1533,18,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.36310314004367683,6.625112180830911,6.988215320874588,1553,19,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3602815424383152,6.625112180830911,6.985393723269226,1502,20,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3600774662627373,6.625112180830911,6.985189647093648,1564,21,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.365528955910122,6.625112180830911,6.990641136741033,1531,22,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3435956801404245,6.625112180830911,6.968707860971335,1544,23,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3517519330198411,6.625112180830911,6.976864113850752,1538,24,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35384074962348677,6.625112180830911,6.978952930454398,1438,25,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3561235829547513,6.625112180830911,6.981235763785662,1487,26,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35752963920822367,6.625112180830911,6.9826418200391345,1555,27,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35325951676350087,6.625112180830911,6.978371697594412,1504,28,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3597230374289211,6.625112180830911,6.984835218259832,1414,29,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.32653275958728045,6.625112180830911,6.951644940418191,1397,30,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3370248326100409,6.625112180830911,6.962137013440952,1597,31,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3447190184961073,6.625112180830911,6.969831199327018,1459,32,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.32250665861647576,6.625112180830911,6.947618839447387,1579,33,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.35886968043632805,6.625112180830911,6.983981861267239,1478,34,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3236310640349984,6.625112180830911,6.948743244865909,1355,35,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3621317216893658,6.625112180830911,6.987243902520277,1547,36,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3537136960076168,6.625112180830911,6.978825876838528,1622,37,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.34884312277426943,6.625112180830911,6.97395530360518,1552,38,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3542462184559554,6.625112180830911,6.979358399286866,1512,39,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3607506019761786,6.625112180830911,6.985862782807089,1606,40,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3583938196534291,6.625112180830911,6.98350600048434,1411,41,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.3372577559784986,6.625112180830911,6.962369936809409,1506,42,1,True,1,-1
adirenia,primary,commanded,positive,positive,0.34122514427872375,6.625112180830911,6.9663373251096345,1581,43,1,True,1,-1
